uid,time,value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,52.85284806408152
0,11,0.0
0,12,63.04941092564587
0,13,0.0
0,14,74.0953499101764
0,15,0.0
0,16,85.81437992841568
0,17,0.0
0,18,97.98290095283738
0,19,0.0
0,20,110.33760195036913
0,21,0.0
0,22,122.58624017714381
0,23,0.0
0,24,134.4208878776205
0,25,0.0
0,26,145.53269053690357
0,27,0.0
0,28,155.6270320407149
0,29,0.0
0,30,164.43796874668251
0,31,0.0
0,32,171.7408773324368
0,33,0.0
0,34,177.3624462110361
0,35,0.0
0,36,181.18740114702754
0,37,0.0
0,38,183.1616588364614
0,39,0.0
0,40,183.2919117231621
0,41,0.0
0,42,181.6419300160384
0,43,0.0
0,44,178.32609627786874
0,45,0.0
0,46,173.50084687269677
0,47,0.0
0,48,167.3547759522596
0,49,0.0
0,50,160.0981640427936
0,51,0.0
0,52,151.95263491961427
0,53,0.0
0,54,143.1415368237864
0,55,0.0
0,56,133.88150518754728
0,57,0.0
0,58,124.37551187928011
0,59,0.0
0,60,114.80755650280389
0,61,0.0
0,62,105.33902104934701
0,63,0.0
0,64,96.10659872513807
0,65,0.0
0,66,87.22162551876927
0,67,0.0
0,68,78.77058987134193
0,69,0.0
0,70,0.0
0,71,0.0
0,72,0.0
0,73,0.0
0,74,0.0
0,75,0.0
0,76,0.0
0,77,0.0
0,78,0.0
0,79,0.0
0,80,0.0
0,81,0.0
0,82,0.0
0,83,0.0
0,84,0.0
0,85,0.0
0,86,0.0
0,87,0.0
0,88,0.0
0,89,0.0
0,90,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.4715545573863549
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,51.380516033756855
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,578.0106300176758
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,1213.7404904483283
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,860.1026954554154
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,371.86990540706006
1,46,0.0
1,47,0.0
1,48,0.0
1,49,0.0
1,50,0.0
1,51,0.0
1,52,177.34943803974232
1,53,0.0
1,54,0.0
1,55,0.0
1,56,0.0
1,57,0.0
1,58,0.0
1,59,168.67412323140164
1,60,0.0
1,61,0.0
1,62,0.0
1,63,0.0
1,64,0.0
1,65,0.0
1,66,578.4006468092339
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,0.0
1,80,0.0
1,81,0.0
1,82,0.0
1,83,0.0
1,84,0.0
1,85,0.0
1,86,0.0
1,87,0.0
1,88,0.0
1,89,0.0
1,90,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,966.34745995697
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,345.44238458103825
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,213.69557016857297
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,198.56465157630328
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,240.54914496793137
2,31,0.0
2,32,0.0
2,33,0.0
2,34,0.0
2,35,329.7692046871307
2,36,0.0
2,37,0.0
2,38,0.0
2,39,0.0
2,40,444.0477920115312
2,41,0.0
2,42,0.0
2,43,0.0
2,44,0.0
2,45,509.76687421208516
2,46,0.0
2,47,0.0
2,48,0.0
2,49,0.0
2,50,433.0566608862869
2,51,0.0
2,52,0.0
2,53,0.0
2,54,0.0
2,55,236.29688180735127
2,56,0.0
2,57,0.0
2,58,0.0
2,59,0.0
2,60,71.88203322086605
2,61,0.0
2,62,0.0
2,63,0.0
2,64,0.0
2,65,10.581341923933008
2,66,0.0
2,67,0.0
2,68,0.0
2,69,0.0
2,70,0.0
2,71,0.0
2,72,0.0
2,73,0.0
2,74,0.0
2,75,0.0
2,76,0.0
2,77,0.0
2,78,0.0
2,79,0.0
2,80,0.0
2,81,0.0
2,82,0.0
2,83,0.0
2,84,0.0
2,85,0.0
2,86,0.0
2,87,0.0
2,88,0.0
2,89,0.0
2,90,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,1.841752643454476
3,11,2.5108803432248408
3,12,3.3299442782978685
3,13,4.300686836540236
3,14,5.415047194763392
3,15,6.654323568638138
3,16,7.989442857985447
3,17,9.382393768391154
3,18,10.788698752284583
3,19,12.160639011776125
3,20,13.450837159243804
3,21,14.615762958724591
3,22,15.618761515513773
3,23,16.43229762820017
3,24,17.039241427644043
3,25,17.43316155837944
3,26,17.61771811945397
3,27,17.605340624078416
3,28,17.415427886831417
3,29,17.07231745696164
3,30,16.603249220064708
3,31,16.03650210780615
3,32,15.39982634276973
3,33,14.719236710408557
3,34,14.018182607722045
3,35,13.317072470023062
3,36,12.633105096730553
3,37,11.980347634500275
3,38,11.369997404803977
3,39,10.810769667957814
3,40,10.309363104092448
3,41,9.870966992981725
3,42,9.499787145106492
3,43,9.199580619481313
3,44,8.974201868095104
3,45,8.82817549846273
3,46,8.76732426998349
3,47,8.799496820562549
3,48,8.935460393647052
3,49,9.190053196627632
3,50,9.58373466595915
3,51,10.144738847512485
3,52,10.912140904063234
3,53,11.940313549395789
3,54,13.305519610079596
3,55,15.11582858700339
3,56,17.52628048139601
3,57,20.76246466457806
3,58,25.15782395229782
3,59,31.21374865879855
3,60,39.698229800260215
3,61,51.81104837244903
3,62,69.46616353582802
3,63,95.7850242343023
3,64,135.97809309336037
3,65,198.95780582717921
3,66,300.3636625968673
3,67,468.38377415339477
3,68,755.2626410671564
3,69,1260.6935886359033
3,70,0.0
3,71,0.0
3,72,0.0
3,73,0.0
3,74,0.0
3,75,0.0
3,76,0.0
3,77,0.0
3,78,0.0
3,79,0.0
3,80,0.0
3,81,0.0
3,82,0.0
3,83,0.0
3,84,0.0
3,85,0.0
3,86,0.0
3,87,0.0
3,88,0.0
3,89,0.0
3,90,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,43.526286555328376
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,69.69398682276109
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,95.0177086171827
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,115.31187556007619
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
4,30,130.22622294752742
4,31,0.0
4,32,0.0
4,33,0.0
4,34,0.0
4,35,143.0778697102908
4,36,0.0
4,37,0.0
4,38,0.0
4,39,0.0
4,40,159.87876504444125
4,41,0.0
4,42,0.0
4,43,0.0
4,44,0.0
4,45,189.9538456055422
4,46,0.0
4,47,0.0
4,48,0.0
4,49,0.0
4,50,250.86441882513438
4,51,0.0
4,52,0.0
4,53,0.0
